Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
BBCWorld,Tue Aug 14 16:12:59 +0000 2018,"Footage shows moment of Genoa bridge collapse. At least 35 people have been killed in the disaster, emergency servi… https://t.co/mNEYpD7EfX",-0.9371,0.0,0.474,0.526,100
BBCWorld,Tue Aug 14 15:53:02 +0000 2018,"RT @BBCSport: Great news 👏

Ronaldo has been discharged from hospital after suffering with pneumonia 👉 https://t.co/PF4Ygziw1M https://t.co…",0.25,0.193,0.146,0.66,99
BBCWorld,Tue Aug 14 15:18:55 +0000 2018,RT @BBCSport: Fernando Alonso has announced his retirement from Formula 1 https://t.co/FmEtHgLcBL https://t.co/S9gfAo3KS8,0.0,0.0,0.0,1.0,98
BBCWorld,Tue Aug 14 15:02:41 +0000 2018,RT @BBCNews: Madonna's London Mini for sale — on Auto Trader https://t.co/9bZJo9l46R,0.0,0.0,0.0,1.0,97
BBCWorld,Tue Aug 14 14:30:28 +0000 2018,"RT @BBCNews: Rooftop camera captures moment car crashes into barrier outside Parliament in Westminster

Follow the latest updates: https://…",-0.128,0.0,0.077,0.923,96
BBCWorld,Tue Aug 14 14:02:39 +0000 2018,"Motorway bridge collapses near Genoa, sending vehicles plummeting 90m to the ground and killing at least 22 people,… https://t.co/UsqLqw9Wya",-0.765,0.0,0.28,0.72,95
BBCWorld,Tue Aug 14 13:59:03 +0000 2018,"Dozens of cars set alight in Sweden, in what police say may be co-ordinated criminal action https://t.co/gakm1awyTu",-0.5267,0.0,0.175,0.825,94
BBCWorld,Tue Aug 14 13:45:13 +0000 2018,"Google records users' locations — even when they've asked it not to, report suggests https://t.co/WO1vjcpZ8f",0.0,0.0,0.0,1.0,93
BBCWorld,Tue Aug 14 13:34:30 +0000 2018,"RT @BBCBreaking: At least 22 people killed after collapse of motorway bridge in Genoa, Italian minister says

Latest: https://t.co/hesyowfk…",-0.8271,0.0,0.312,0.688,92
BBCWorld,Tue Aug 14 13:16:22 +0000 2018,"20,000 to 30,000 Islamic State group militants remain in Syria &amp; Iraq, UN report says https://t.co/Bv3wStmxqF",0.0,0.0,0.0,1.0,91
BBCWorld,Tue Aug 14 12:42:57 +0000 2018,"Turkey will boycott US electronic goods such as the iPhone, President Erdogan says https://t.co/uZK0kyf3Kv",-0.3182,0.0,0.15,0.85,90
BBCWorld,Tue Aug 14 12:23:21 +0000 2018,"RT @BBCNews: ""These animals are crazy"": Donald Trump responds to ""terror attack"" in Westminster 

Latest updates: https://t.co/xWBuCo3CEC h…",-0.7579,0.0,0.289,0.711,89
BBCWorld,Tue Aug 14 11:38:48 +0000 2018,"RT @BBCBreaking: Genoa motorway bridge collapse likely to be ""immense tragedy"", Italian transport minister says, with unconfirmed reports o…",-0.5719,0.0,0.217,0.783,88
BBCWorld,Tue Aug 14 11:22:34 +0000 2018,"RT @BBCSport: This is a game-changer.

Facebook have signed a huge rights deal with La Liga.

👉 https://t.co/dtNhGnsa3P https://t.co/2KgDwL…",0.3182,0.133,0.0,0.867,87
BBCWorld,Tue Aug 14 10:58:59 +0000 2018,"RT @BBCBreaking: #Westminster car attack: No other suspects identified and ""no intelligence at this time"" of further danger to Londoners, p…",-0.8481,0.099,0.424,0.478,86
BBCWorld,Tue Aug 14 10:47:41 +0000 2018,"India's patent office rejects a vibrator, saying sex toys violate ""public order and morality"" https://t.co/GdPom28Ymy",-0.7506,0.0,0.348,0.652,85
BBCWorld,Tue Aug 14 10:24:06 +0000 2018,Motorway bridge collapses in Italy https://t.co/ezYpAMBWjO,-0.296,0.0,0.306,0.694,84
BBCWorld,Tue Aug 14 10:11:34 +0000 2018,"RT @BBCBreaking: Rooftop camera shows moment car crashes into barriers outside Parliament

https://t.co/CprbiGZgrg #Westminster https://t.c…",0.0,0.0,0.0,1.0,83
BBCWorld,Tue Aug 14 09:50:30 +0000 2018,Palm oil: A new threat to Africa's monkeys and apes? https://t.co/o92XAGrAdI,-0.5267,0.0,0.274,0.726,82
BBCWorld,Tue Aug 14 09:37:26 +0000 2018,"RT @BBCBreaking: #Westminster car crash is being treated as terror attack, London police say

https://t.co/CprbiGZgrg",-0.8481,0.0,0.434,0.566,81
BBCWorld,Tue Aug 14 16:12:59 +0000 2018,"Footage shows moment of Genoa bridge collapse. At least 35 people have been killed in the disaster, emergency servi… https://t.co/mNEYpD7EfX",-0.9371,0.0,0.474,0.526,80
BBCWorld,Tue Aug 14 15:53:02 +0000 2018,"RT @BBCSport: Great news 👏

Ronaldo has been discharged from hospital after suffering with pneumonia 👉 https://t.co/PF4Ygziw1M https://t.co…",0.25,0.193,0.146,0.66,79
BBCWorld,Tue Aug 14 15:18:55 +0000 2018,RT @BBCSport: Fernando Alonso has announced his retirement from Formula 1 https://t.co/FmEtHgLcBL https://t.co/S9gfAo3KS8,0.0,0.0,0.0,1.0,78
BBCWorld,Tue Aug 14 15:02:41 +0000 2018,RT @BBCNews: Madonna's London Mini for sale — on Auto Trader https://t.co/9bZJo9l46R,0.0,0.0,0.0,1.0,77
BBCWorld,Tue Aug 14 14:30:28 +0000 2018,"RT @BBCNews: Rooftop camera captures moment car crashes into barrier outside Parliament in Westminster

Follow the latest updates: https://…",-0.128,0.0,0.077,0.923,76
BBCWorld,Tue Aug 14 14:02:39 +0000 2018,"Motorway bridge collapses near Genoa, sending vehicles plummeting 90m to the ground and killing at least 22 people,… https://t.co/UsqLqw9Wya",-0.765,0.0,0.28,0.72,75
BBCWorld,Tue Aug 14 13:59:03 +0000 2018,"Dozens of cars set alight in Sweden, in what police say may be co-ordinated criminal action https://t.co/gakm1awyTu",-0.5267,0.0,0.175,0.825,74
BBCWorld,Tue Aug 14 13:45:13 +0000 2018,"Google records users' locations — even when they've asked it not to, report suggests https://t.co/WO1vjcpZ8f",0.0,0.0,0.0,1.0,73
BBCWorld,Tue Aug 14 13:34:30 +0000 2018,"RT @BBCBreaking: At least 22 people killed after collapse of motorway bridge in Genoa, Italian minister says

Latest: https://t.co/hesyowfk…",-0.8271,0.0,0.312,0.688,72
BBCWorld,Tue Aug 14 13:16:22 +0000 2018,"20,000 to 30,000 Islamic State group militants remain in Syria &amp; Iraq, UN report says https://t.co/Bv3wStmxqF",0.0,0.0,0.0,1.0,71
BBCWorld,Tue Aug 14 12:42:57 +0000 2018,"Turkey will boycott US electronic goods such as the iPhone, President Erdogan says https://t.co/uZK0kyf3Kv",-0.3182,0.0,0.15,0.85,70
BBCWorld,Tue Aug 14 12:23:21 +0000 2018,"RT @BBCNews: ""These animals are crazy"": Donald Trump responds to ""terror attack"" in Westminster 

Latest updates: https://t.co/xWBuCo3CEC h…",-0.7579,0.0,0.289,0.711,69
BBCWorld,Tue Aug 14 11:38:48 +0000 2018,"RT @BBCBreaking: Genoa motorway bridge collapse likely to be ""immense tragedy"", Italian transport minister says, with unconfirmed reports o…",-0.5719,0.0,0.217,0.783,68
BBCWorld,Tue Aug 14 11:22:34 +0000 2018,"RT @BBCSport: This is a game-changer.

Facebook have signed a huge rights deal with La Liga.

👉 https://t.co/dtNhGnsa3P https://t.co/2KgDwL…",0.3182,0.133,0.0,0.867,67
BBCWorld,Tue Aug 14 10:58:59 +0000 2018,"RT @BBCBreaking: #Westminster car attack: No other suspects identified and ""no intelligence at this time"" of further danger to Londoners, p…",-0.8481,0.099,0.424,0.478,66
BBCWorld,Tue Aug 14 10:47:41 +0000 2018,"India's patent office rejects a vibrator, saying sex toys violate ""public order and morality"" https://t.co/GdPom28Ymy",-0.7506,0.0,0.348,0.652,65
BBCWorld,Tue Aug 14 10:24:06 +0000 2018,Motorway bridge collapses in Italy https://t.co/ezYpAMBWjO,-0.296,0.0,0.306,0.694,64
BBCWorld,Tue Aug 14 10:11:34 +0000 2018,"RT @BBCBreaking: Rooftop camera shows moment car crashes into barriers outside Parliament

https://t.co/CprbiGZgrg #Westminster https://t.c…",0.0,0.0,0.0,1.0,63
BBCWorld,Tue Aug 14 09:50:30 +0000 2018,Palm oil: A new threat to Africa's monkeys and apes? https://t.co/o92XAGrAdI,-0.5267,0.0,0.274,0.726,62
BBCWorld,Tue Aug 14 09:37:26 +0000 2018,"RT @BBCBreaking: #Westminster car crash is being treated as terror attack, London police say

https://t.co/CprbiGZgrg",-0.8481,0.0,0.434,0.566,61
BBCWorld,Tue Aug 14 09:18:17 +0000 2018,Jack Whitehall faces backlash after being cast as Disney's first major gay character https://t.co/cA2h2F0Gvs,0.0,0.0,0.0,1.0,60
BBCWorld,Tue Aug 14 09:14:23 +0000 2018,"RT @marklowen: In Pres #Erdogan's latest bombastic response to #lira crisis, he announces #Turkey will boycott #US electronic products. ""Th…",-0.7506,0.0,0.262,0.738,59
BBCWorld,Tue Aug 14 08:51:45 +0000 2018,"Venezuela's president says its subsidised fuel prices should rise, to stop smugglers cheating the country https://t.co/72Y3xzFtZp",-0.802,0.0,0.387,0.613,58
BBCWorld,Tue Aug 14 08:47:04 +0000 2018,"""If I hadn't heard that radio message she wouldn't be alive today"" 

https://t.co/6T2XOrVw5f",-0.2924,0.0,0.166,0.834,57
BBCWorld,Tue Aug 14 08:27:49 +0000 2018,"RT @BBCBreaking: London #Westminster incident update:

- Man arrested after car crashes into barriers outside Parliament
- Number of pedest…",-0.4215,0.064,0.152,0.784,56
BBCWorld,Tue Aug 14 08:08:54 +0000 2018,"RT @BBCNews: Westminster in lockdown after car crashes into barriers outside parliament, leaving pedestrians injured

 https://t.co/tWhzm9w…",-0.4019,0.0,0.153,0.847,55
BBCWorld,Tue Aug 14 07:20:33 +0000 2018,"RT @BBCBreaking: A number of pedestrians have been injured after car crashed into security barriers outside Parliament, London police say h…",0.0,0.158,0.115,0.726,54
BBCWorld,Tue Aug 14 07:04:44 +0000 2018,RT @BBCBreaking: Man arrested after car crashes into security barriers outside Houses of Parliament https://t.co/TNPrEKUPHM,-0.1779,0.13,0.168,0.703,53
BBCWorld,Tue Aug 14 06:42:52 +0000 2018,"Boy whose remains were found in desert compound in New Mexico died during a ""ritual ceremony"", US prosecutors say https://t.co/imxQmscNWy",-0.5574,0.0,0.167,0.833,52
BBCWorld,Tue Aug 14 04:49:51 +0000 2018,"If you think there's something fishy about the salmon you're eating, that could be because it's not salmon.

New ru… https://t.co/u49KSC0WfY",0.0,0.0,0.0,1.0,51
