,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,Saryg-Sep,51.49,59.91,20,3.15,80
1,Klaksvik,62.23,50.0,44,9.17,100
2,Jinxiang,35.07,95.91,0,6.4,72
3,Kavieng,-2.57,80.92,48,3.38,100
4,Auki,12.18,68.59,76,4.94,96
5,Rikitea,-23.12,75.61,56,4.16,98
6,Richards Bay,-28.77,55.77,0,7.29,85
7,Yellowknife,62.45,64.4,90,3.36,82
8,Butaritari,3.07,79.53,64,3.49,100
9,Georgetown,6.8,75.2,40,4.7,94
10,Bredasdorp,-34.53,44.6,56,10.29,81
11,Hainburg,50.07,65.32,0,1.12,72
12,Hellvik,59.92,53.16,92,2.15,100
13,Ambilobe,-13.19,59.19,0,4.94,86
14,Punta Arenas,-53.16,33.8,90,3.36,100
15,Saskylakh,71.97,65.26,0,8.97,72
16,Ambon,47.55,68.0,0,4.7,77
17,Jamestown,-33.21,47.44,88,15.46,98
18,Nikolskoye,59.7,57.2,75,8.95,87
19,Luanda,-8.83,68.0,75,4.7,94
20,Chake Chake,-5.25,76.47,92,11.99,100
21,Cidreira,-30.17,46.81,0,6.06,86
22,Maragogi,-9.01,73.68,68,8.3,94
23,Vaini,15.34,69.72,92,9.19,99
24,Ribeira Grande,38.52,70.39,0,8.08,100
25,Natitingou,10.31,68.0,75,2.24,100
26,Khatanga,71.98,51.0,8,9.64,97
27,Port Elizabeth,39.31,78.24,1,10.98,94
28,Mareeba,-16.99,80.6,40,10.29,69
29,Buka,40.82,82.4,0,4.7,37
30,Hobart,-42.88,53.6,20,17.22,46
31,Chern,53.45,63.15,0,8.08,75
32,Santa Maria,-29.69,46.4,0,3.36,100
33,Kapaa,22.08,83.5,90,16.11,78
34,Mataura,-46.19,44.25,100,3.94,82
35,Grand Gaube,-20.01,71.6,75,11.41,53
36,Ostrovnoy,68.05,45.87,20,13.22,88
37,Hermanus,-34.42,43.35,68,8.19,98
38,Saint-Pierre,48.95,67.01,0,6.93,52
39,Lebu,8.96,55.4,75,2.24,100
40,Dikson,73.51,47.31,32,19.6,82
41,Benguela,-12.58,63.91,8,3.6,100
