,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,Hermanus,-34.42,44.94,32,8.66,95
1,Rikitea,-23.12,75.72,32,7.76,99
2,Mataura,-46.19,42.06,68,5.08,76
3,Atuona,-9.8,78.6,76,17.72,100
4,Tuktoyaktuk,69.44,42.8,90,8.05,87
5,Chapada dos Guimaraes,-15.46,71.6,0,6.93,68
6,Insch,57.34,58.5,75,4.7,87
7,Barsovo,61.17,57.2,0,8.95,76
8,Digos,6.74,75.2,90,4.74,100
9,Xuddur,4.12,69.42,8,10.56,82
10,Gayny,60.3,59.79,80,8.21,93
11,Harper,30.3,95.02,75,10.56,30
12,Quatre Cocos,-20.21,68.0,40,10.29,64
13,Ust-Omchug,61.13,53.13,92,3.4,93
14,Kapaa,22.08,82.4,90,16.11,78
15,Bredasdorp,-34.53,50.0,12,8.05,81
16,Tiszalok,48.02,73.4,0,11.41,60
17,Hasaki,35.73,72.45,75,16.11,94
18,Pitimbu,-7.47,75.2,20,8.05,83
19,Ancud,-41.87,44.67,80,6.31,97
20,Busselton,-33.64,60.42,12,18.28,100
21,Yellowknife,62.45,64.4,75,6.93,82
22,Saint Simons,31.14,87.87,1,13.87,58
23,Georgetown,6.8,75.2,75,6.93,100
24,Bethel,60.79,57.2,90,10.29,93
25,Hobart,-42.88,44.6,40,9.17,70
26,Mundu,-6.46,74.73,0,13.13,100
27,Punta Arenas,-53.16,33.8,75,9.17,100
28,Vila,45.18,75.22,75,10.29,69
29,Luderitz,-26.65,50.16,0,7.54,88
30,Bodden Town,19.28,86.0,40,18.34,79
31,Ushuaia,-54.81,32.99,75,9.17,100
32,Santa Maria,-29.69,55.4,0,3.36,87
33,Jaciara,-15.95,70.32,56,2.95,78
34,Te Anau,-45.41,38.55,92,5.97,80
35,Codrington,-28.95,58.44,0,3.74,62
36,Jermuk,39.84,52.14,8,2.73,97
37,Lamu,0.57,78.06,80,4.85,83
38,Dikson,73.51,45.57,24,19.28,86
39,Port Moresby,-9.47,76.8,68,8.21,100
40,Karratha,-20.74,54.75,0,13.69,26
41,Pevek,69.7,40.8,24,8.55,100
42,Batagay-Alyta,67.8,55.47,0,3.85,60
43,Jamestown,-33.21,45.93,56,13.13,100
44,Gallipoli,40.06,78.8,0,2.24,83
45,Fare,-16.7,80.67,0,12.12,96
46,Pacific Grove,36.62,75.9,20,5.82,63
47,Avarua,-21.21,77.0,75,18.34,88
48,Talnakh,69.49,47.64,12,5.64,88
49,Newport,51.59,59.65,76,9.17,100
50,Pundaguitan,6.37,84.36,64,11.9,96
51,Port Alfred,-33.59,58.71,0,13.35,90
52,Oriximina,-1.77,86.7,8,5.75,51
53,La Palma,5.36,73.11,12,0.6,73
54,Kaitangata,-46.28,43.59,36,6.2,84
55,Mar del Plata,-46.43,44.4,88,4.18,91
56,Tairua,-37.02,56.64,80,2.95,95
57,Loreto,-23.27,61.14,0,7.2,89
58,Lebu,8.96,57.2,75,4.7,87
59,Magadi,12.96,68.0,40,9.17,100
60,Khatanga,71.98,48.27,0,8.88,93
61,Huilong,28.89,76.8,64,2.62,90
62,Clyde River,70.47,50.0,20,23.04,61
63,Provideniya,64.42,48.2,90,8.95,81
64,Miura,35.17,71.73,90,10.29,94
65,Bluff,-23.58,64.47,48,14.81,21
66,East London,-33.02,65.37,0,17.83,100
67,Natal,-5.81,78.8,40,10.29,78
68,El Doncello,1.68,71.13,92,2.17,98
69,Kurilsk,45.23,55.11,0,5.64,96
70,Airai,-8.93,71.94,0,1.95,66
71,Tezu,27.93,69.69,36,1.72,89
72,Iqaluit,63.75,41.0,90,4.7,93
73,Eureka,40.8,61.72,75,5.86,82
74,Mayo,63.59,60.8,75,6.93,77
75,Longyearbyen,78.22,46.4,20,11.41,65
76,Margate,-43.03,44.6,40,9.17,70
77,Upernavik,72.79,42.24,92,29.24,86
